2025-05-25 04:32:09 - main                      - INFO - N/A - Starting LangGraph with parallel processing
2025-05-25 04:33:07 - event_classifier          - INFO - 57.620s - Chunk 141 processed, (1) general events, (1) opinions.
2025-05-25 04:33:07 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 141 started
2025-05-25 04:33:07 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 141 started
2025-05-25 04:33:16 - event_scoring             - INFO - 50.472s - Successfully calculated event scores
2025-05-25 04:33:16 - event_scoring             - INFO - 50.472s - Chunk 142 processed successfully. Processed 1 general events.
2025-05-25 04:33:18 - sentiment_analysis        - INFO - 52.356s - Successfully got sentiment score
2025-05-25 04:33:18 - sentiment_analysis        - INFO - 52.356s - Chunk 142 processed successfully. Processed 1 person events.
2025-05-25 04:33:18 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 142 started
2025-05-25 04:33:18 - inconsistency_detection   - INFO - 0.016s - Chunk 142 processed successfully. Processed 1 person events.
2025-05-25 04:33:18 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 142 started
2025-05-25 04:33:18 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 142.
2025-05-25 04:33:18 - person_summary            - INFO - N/A - No sentiment history found for person Blakers in chunk 142, generating new.
2025-05-25 04:33:31 - event_classifier          - INFO - 80.993s - Chunk 140 processed, (1) general events, (1) opinions.
2025-05-25 04:33:31 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 140 started
2025-05-25 04:33:31 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 140 started
2025-05-25 04:33:39 - event_scoring             - INFO - 41.931s - Successfully calculated event scores
2025-05-25 04:33:39 - event_scoring             - INFO - 41.931s - Chunk 138 processed successfully. Processed 1 general events.
2025-05-25 04:33:41 - sentiment_analysis        - INFO - 43.816s - Successfully got sentiment score
2025-05-25 04:33:41 - sentiment_analysis        - INFO - 43.816s - Chunk 138 processed successfully. Processed 1 person events.
2025-05-25 04:33:41 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 138 started
2025-05-25 04:33:41 - inconsistency_detection   - INFO - 0.012s - Chunk 138 processed successfully. Processed 1 person events.
2025-05-25 04:33:41 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 138 started
2025-05-25 04:33:41 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 138.
2025-05-25 04:33:41 - person_summary            - INFO - N/A - No sentiment history found for person Solar Energy Industries Association in chunk 138, generating new.
2025-05-25 04:33:47 - event_scoring             - INFO - 40.257s - Successfully calculated event scores
2025-05-25 04:33:47 - event_scoring             - INFO - 40.257s - Chunk 141 processed successfully. Processed 1 general events.
2025-05-25 04:33:49 - sentiment_analysis        - INFO - 42.065s - Successfully got sentiment score
2025-05-25 04:33:49 - sentiment_analysis        - INFO - 42.065s - Chunk 141 processed successfully. Processed 1 person events.
2025-05-25 04:33:49 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 141 started
2025-05-25 04:33:49 - inconsistency_detection   - INFO - 0.012s - Chunk 141 processed successfully. Processed 1 person events.
2025-05-25 04:33:49 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 141 started
2025-05-25 04:33:49 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 141.
2025-05-25 04:33:49 - person_summary            - INFO - N/A - No sentiment history found for person Andrew Blakers in chunk 141, generating new.
2025-05-25 04:33:58 - person_summary            - INFO - 39.485s - Successfully got comment
2025-05-25 04:33:58 - person_summary            - INFO - 39.486s - Chunk 142 processed successfully. Processed 1 person events.
2025-05-25 04:33:58 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 142 started
2025-05-25 04:34:07 - event_scoring             - INFO - 36.528s - Successfully calculated event scores
2025-05-25 04:34:07 - event_scoring             - INFO - 36.529s - Chunk 140 processed successfully. Processed 1 general events.
2025-05-25 04:34:09 - sentiment_analysis        - INFO - 38.333s - Successfully got sentiment score
2025-05-25 04:34:09 - sentiment_analysis        - INFO - 38.333s - Chunk 140 processed successfully. Processed 1 person events.
2025-05-25 04:34:09 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 140 started
2025-05-25 04:34:09 - inconsistency_detection   - INFO - 0.012s - Chunk 140 processed successfully. Processed 1 person events.
2025-05-25 04:34:09 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 140 started
2025-05-25 04:34:09 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 140.
2025-05-25 04:34:09 - person_summary            - INFO - N/A - No sentiment history found for person Robert Gleitz in chunk 140, generating new.
2025-05-25 04:34:18 - person_summary            - INFO - 36.811s - Successfully got comment
2025-05-25 04:34:18 - person_summary            - INFO - 36.812s - Chunk 138 processed successfully. Processed 1 person events.
2025-05-25 04:34:18 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 138 started
2025-05-25 04:34:22 - person_summary            - INFO - 33.168s - Successfully got comment
2025-05-25 04:34:22 - person_summary            - INFO - 33.168s - Chunk 141 processed successfully. Processed 1 person events.
2025-05-25 04:34:22 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 141 started
2025-05-25 04:34:28 - opinion_scoring           - INFO - 30.533s - Successfully calculated opinion scores
2025-05-25 04:34:28 - opinion_scoring           - INFO - 30.533s - Chunk 142 processed successfully. Processed 1 person events.
2025-05-25 04:34:29 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:34:29 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:34:29 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:34:29 - write_node                - INFO - N/A - Chunk 142 marked as processed
2025-05-25 04:34:29 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 139 started
2025-05-25 04:34:39 - person_summary            - INFO - 29.608s - Successfully got comment
2025-05-25 04:34:39 - person_summary            - INFO - 29.610s - Chunk 140 processed successfully. Processed 1 person events.
2025-05-25 04:34:39 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 140 started
2025-05-25 04:34:45 - opinion_scoring           - INFO - 26.625s - Successfully calculated opinion scores
2025-05-25 04:34:45 - opinion_scoring           - INFO - 26.625s - Chunk 138 processed successfully. Processed 1 person events.
2025-05-25 04:34:45 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:34:45 - write_node                - ERROR - N/A - Opinion scores not saved correctly for ID 2: hotness: expected 0.6549999999999999, got 0.655
2025-05-25 04:34:45 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:34:45 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:34:45 - write_node                - INFO - N/A - Chunk 138 marked as processed
2025-05-25 04:34:46 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 136 started
2025-05-25 04:34:50 - opinion_scoring           - INFO - 27.110s - Successfully calculated opinion scores
2025-05-25 04:34:50 - opinion_scoring           - INFO - 27.110s - Chunk 141 processed successfully. Processed 1 person events.
2025-05-25 04:34:50 - write_node                - ERROR - N/A - Event scores not saved correctly: Expected 0.85, 0.75, 0.6, 0.7124999999999999 but got 0.85, 0.75, 0.6, 0.7125
2025-05-25 04:34:50 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:34:50 - write_node                - ERROR - N/A - Opinion scores not saved correctly for ID 3: hotness: expected 0.7749999999999999, got 0.775
2025-05-25 04:34:50 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:34:50 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:34:50 - write_node                - INFO - N/A - Chunk 141 marked as processed
2025-05-25 04:34:50 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 135 started
2025-05-25 04:35:02 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 412). Attempting to fix...
2025-05-25 04:35:02 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:35:02 - event_classifier          - INFO - N/A - Successfully reconstructed JSON with regex field extraction
2025-05-25 04:35:02 - event_classifier          - INFO - 32.950s - Chunk 139 processed, (1) general events, (1) opinions.
2025-05-25 04:35:02 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 139 started
2025-05-25 04:35:02 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 139 started
2025-05-25 04:35:09 - opinion_scoring           - INFO - 30.167s - Successfully calculated opinion scores
2025-05-25 04:35:09 - opinion_scoring           - INFO - 30.167s - Chunk 140 processed successfully. Processed 1 person events.
2025-05-25 04:35:09 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:35:09 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:35:09 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:35:09 - write_node                - INFO - N/A - Chunk 140 marked as processed
2025-05-25 04:35:09 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 137 started
2025-05-25 04:35:26 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 565). Attempting to fix...
2025-05-25 04:35:26 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:35:26 - event_classifier          - WARNING - N/A - Failed to extract with regex: Unterminated string starting at: line 1 column 319 (char 318)
2025-05-25 04:35:26 - event_classifier          - INFO - 40.147s - Chunk 136 processed, (1) general events, (1) opinions.
2025-05-25 04:35:26 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 136 started
2025-05-25 04:35:26 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 136 started
2025-05-25 04:35:36 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 352). Attempting to fix...
2025-05-25 04:35:36 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:35:36 - event_classifier          - INFO - N/A - Successfully reconstructed JSON with regex field extraction
2025-05-25 04:35:36 - event_classifier          - INFO - 45.740s - Chunk 135 processed, (1) general events, (1) opinions.
2025-05-25 04:35:36 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 135 started
2025-05-25 04:35:36 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 135 started
2025-05-25 04:35:42 - event_scoring             - INFO - 40.348s - Successfully calculated event scores
2025-05-25 04:35:42 - event_scoring             - INFO - 40.349s - Chunk 139 processed successfully. Processed 1 general events.
2025-05-25 04:35:44 - sentiment_analysis        - INFO - 42.149s - Successfully got sentiment score
2025-05-25 04:35:44 - sentiment_analysis        - INFO - 42.149s - Chunk 139 processed successfully. Processed 1 person events.
2025-05-25 04:35:44 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 139 started
2025-05-25 04:35:44 - inconsistency_detection   - INFO - 0.012s - Chunk 139 processed successfully. Processed 1 person events.
2025-05-25 04:35:44 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 139 started
2025-05-25 04:35:44 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 139.
2025-05-25 04:35:44 - person_summary            - INFO - N/A - No sentiment history found for person Unspecified in chunk 139, generating new.
2025-05-25 04:36:00 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 422). Attempting to fix...
2025-05-25 04:36:00 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:36:00 - event_classifier          - INFO - N/A - Successfully reconstructed JSON with regex field extraction
2025-05-25 04:36:00 - event_classifier          - INFO - 50.409s - Chunk 137 processed, (1) general events, (1) opinions.
2025-05-25 04:36:00 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 137 started
2025-05-25 04:36:00 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 137 started
2025-05-25 04:36:09 - event_scoring             - INFO - 43.010s - Successfully calculated event scores
2025-05-25 04:36:09 - event_scoring             - INFO - 43.011s - Chunk 136 processed successfully. Processed 1 general events.
2025-05-25 04:36:10 - sentiment_analysis        - INFO - 44.807s - Successfully got sentiment score
2025-05-25 04:36:10 - sentiment_analysis        - INFO - 44.808s - Chunk 136 processed successfully. Processed 1 person events.
2025-05-25 04:36:10 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 136 started
2025-05-25 04:36:11 - inconsistency_detection   - INFO - 0.012s - Chunk 136 processed successfully. Processed 1 person events.
2025-05-25 04:36:11 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 136 started
2025-05-25 04:36:11 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 136.
2025-05-25 04:36:11 - person_summary            - INFO - N/A - No sentiment history found for person Mark Wolfe in chunk 136, generating new.
2025-05-25 04:36:17 - event_scoring             - INFO - 40.950s - Successfully calculated event scores
2025-05-25 04:36:17 - event_scoring             - INFO - 40.951s - Chunk 135 processed successfully. Processed 1 general events.
2025-05-25 04:36:19 - sentiment_analysis        - INFO - 42.859s - Successfully got sentiment score
2025-05-25 04:36:19 - sentiment_analysis        - INFO - 42.859s - Chunk 135 processed successfully. Processed 1 person events.
2025-05-25 04:36:19 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 135 started
2025-05-25 04:36:19 - inconsistency_detection   - INFO - 0.012s - Chunk 135 processed successfully. Processed 1 person events.
2025-05-25 04:36:19 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 135 started
2025-05-25 04:36:19 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 135.
2025-05-25 04:36:19 - person_summary            - INFO - N/A - No sentiment history found for person Unspecified in chunk 135, generating new.
2025-05-25 04:36:24 - person_summary            - INFO - 40.232s - Successfully got comment
2025-05-25 04:36:24 - person_summary            - INFO - 40.233s - Chunk 139 processed successfully. Processed 1 person events.
2025-05-25 04:36:24 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 139 started
2025-05-25 04:36:33 - event_scoring             - INFO - 32.754s - Successfully calculated event scores
2025-05-25 04:36:33 - event_scoring             - INFO - 32.754s - Chunk 137 processed successfully. Processed 1 general events.
2025-05-25 04:36:34 - sentiment_analysis        - INFO - 34.551s - Successfully got sentiment score
2025-05-25 04:36:34 - sentiment_analysis        - INFO - 34.551s - Chunk 137 processed successfully. Processed 1 person events.
2025-05-25 04:36:34 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 137 started
2025-05-25 04:36:34 - inconsistency_detection   - INFO - 0.010s - Chunk 137 processed successfully. Processed 1 person events.
2025-05-25 04:36:34 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 137 started
2025-05-25 04:36:34 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 137.
2025-05-25 04:36:34 - person_summary            - INFO - N/A - No sentiment history found for person Debbie Stabenow in chunk 137, generating new.
2025-05-25 04:36:45 - person_summary            - ERROR - N/A - Error in refinement process: 'max_length'. Falling back to truncation.
2025-05-25 04:36:45 - person_summary            - INFO - 34.173s - Successfully got comment
2025-05-25 04:36:45 - person_summary            - INFO - 34.175s - Chunk 136 processed successfully. Processed 1 person events.
2025-05-25 04:36:45 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 136 started
2025-05-25 04:36:49 - person_summary            - INFO - 30.264s - Successfully got comment
2025-05-25 04:36:49 - person_summary            - INFO - 30.264s - Chunk 135 processed successfully. Processed 1 person events.
2025-05-25 04:36:49 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 135 started
2025-05-25 04:36:55 - opinion_scoring           - INFO - 30.885s - Successfully calculated opinion scores
2025-05-25 04:36:55 - opinion_scoring           - INFO - 30.885s - Chunk 139 processed successfully. Processed 1 person events.
2025-05-25 04:36:55 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:36:56 - write_node                - ERROR - N/A - Opinion scores not saved correctly for ID 5: hotness: expected 0.7749999999999999, got 0.775
2025-05-25 04:36:56 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:36:56 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:36:56 - write_node                - INFO - N/A - Chunk 139 marked as processed
2025-05-25 04:36:56 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 134 started
2025-05-25 04:37:04 - person_summary            - INFO - 29.719s - Successfully got comment
2025-05-25 04:37:04 - person_summary            - INFO - 29.719s - Chunk 137 processed successfully. Processed 1 person events.
2025-05-25 04:37:04 - opinion_scoring           - INFO - N/A - (Stage 3) Opinion scoring for chunk 137 started
2025-05-25 04:37:10 - opinion_scoring           - INFO - 25.671s - Successfully calculated opinion scores
2025-05-25 04:37:10 - opinion_scoring           - INFO - 25.671s - Chunk 136 processed successfully. Processed 1 person events.
2025-05-25 04:37:10 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:37:10 - write_node                - ERROR - N/A - Opinion scores not saved correctly for ID 6: hotness: expected 0.7749999999999999, got 0.775
2025-05-25 04:37:10 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:37:10 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:37:11 - write_node                - INFO - N/A - Chunk 136 marked as processed
2025-05-25 04:37:11 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 133 started
2025-05-25 04:37:15 - opinion_scoring           - INFO - 25.937s - Successfully calculated opinion scores
2025-05-25 04:37:15 - opinion_scoring           - INFO - 25.937s - Chunk 135 processed successfully. Processed 1 person events.
2025-05-25 04:37:15 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:37:15 - write_node                - ERROR - N/A - Opinion scores not saved correctly for ID 7: hotness: expected 0.7749999999999999, got 0.775
2025-05-25 04:37:15 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:37:15 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:37:15 - write_node                - INFO - N/A - Chunk 135 marked as processed
2025-05-25 04:37:16 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 128 started
2025-05-25 04:37:30 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 490). Attempting to fix...
2025-05-25 04:37:30 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:37:30 - event_classifier          - WARNING - N/A - Failed to extract with regex: Unterminated string starting at: line 1 column 253 (char 252)
2025-05-25 04:37:30 - event_classifier          - INFO - 34.233s - Chunk 134 processed, (1) general events, (1) opinions.
2025-05-25 04:37:30 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 134 started
2025-05-25 04:37:30 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 134 started
2025-05-25 04:37:37 - opinion_scoring           - INFO - 32.633s - Successfully calculated opinion scores
2025-05-25 04:37:37 - opinion_scoring           - INFO - 32.633s - Chunk 137 processed successfully. Processed 1 person events.
2025-05-25 04:37:37 - write_node                - INFO - N/A - (Stage 3) Scores without inconsistency case
2025-05-25 04:37:37 - write_node                - INFO - N/A - (Stage 2.1) Summary/attitude full case
2025-05-25 04:37:37 - write_node                - ERROR - N/A - Error processing person event: add_attitude_full() got an unexpected keyword argument 'is_expert_flag'
2025-05-25 04:37:37 - write_node                - INFO - N/A - Chunk 137 marked as processed
2025-05-25 04:37:37 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 129 started
2025-05-25 04:37:55 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 523). Attempting to fix...
2025-05-25 04:37:55 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:37:55 - event_classifier          - WARNING - N/A - Failed to extract with regex: Unterminated string starting at: line 1 column 219 (char 218)
2025-05-25 04:37:55 - event_classifier          - INFO - 44.320s - Chunk 133 processed, (1) general events, (1) opinions.
2025-05-25 04:37:55 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 133 started
2025-05-25 04:37:56 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 133 started
2025-05-25 04:38:07 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 373). Attempting to fix...
2025-05-25 04:38:07 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:38:07 - event_classifier          - INFO - N/A - Successfully reconstructed JSON with regex field extraction
2025-05-25 04:38:07 - event_classifier          - INFO - 51.407s - Chunk 128 processed, (1) general events, (1) opinions.
2025-05-25 04:38:07 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 128 started
2025-05-25 04:38:07 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 128 started
2025-05-25 04:38:15 - event_scoring             - INFO - 45.161s - Successfully calculated event scores
2025-05-25 04:38:15 - event_scoring             - INFO - 45.162s - Chunk 134 processed successfully. Processed 1 general events.
2025-05-25 04:38:17 - sentiment_analysis        - INFO - 47.054s - Successfully got sentiment score
2025-05-25 04:38:17 - sentiment_analysis        - INFO - 47.054s - Chunk 134 processed successfully. Processed 1 person events.
2025-05-25 04:38:17 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 134 started
2025-05-25 04:38:17 - inconsistency_detection   - INFO - 0.012s - Chunk 134 processed successfully. Processed 1 person events.
2025-05-25 04:38:17 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 134 started
2025-05-25 04:38:17 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 134.
2025-05-25 04:38:17 - person_summary            - INFO - N/A - No sentiment history found for person Dr. Wayne Martindale in chunk 134, generating new.
2025-05-25 04:38:35 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 527). Attempting to fix...
2025-05-25 04:38:35 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:38:35 - event_classifier          - WARNING - N/A - Failed to extract with regex: Unterminated string starting at: line 1 column 269 (char 268)
2025-05-25 04:38:35 - event_classifier          - INFO - 57.556s - Chunk 129 processed, (1) general events, (1) opinions.
2025-05-25 04:38:35 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 129 started
2025-05-25 04:38:35 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 129 started
2025-05-25 04:38:44 - event_scoring             - INFO - 48.237s - Successfully calculated event scores
2025-05-25 04:38:44 - event_scoring             - INFO - 48.238s - Chunk 133 processed successfully. Processed 1 general events.
2025-05-25 04:38:46 - sentiment_analysis        - INFO - 50.023s - Successfully got sentiment score
2025-05-25 04:38:46 - sentiment_analysis        - INFO - 50.023s - Chunk 133 processed successfully. Processed 1 person events.
2025-05-25 04:38:46 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 133 started
2025-05-25 04:38:46 - inconsistency_detection   - INFO - 0.012s - Chunk 133 processed successfully. Processed 1 person events.
2025-05-25 04:38:46 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 133 started
2025-05-25 04:38:46 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 133.
2025-05-25 04:38:46 - person_summary            - INFO - N/A - No sentiment history found for person Arina Shokouhi in chunk 133, generating new.
2025-05-25 04:38:54 - event_scoring             - INFO - 46.372s - Successfully calculated event scores
2025-05-25 04:38:54 - event_scoring             - INFO - 46.372s - Chunk 128 processed successfully. Processed 1 general events.
2025-05-25 04:38:55 - sentiment_analysis        - INFO - 48.271s - Successfully got sentiment score
2025-05-25 04:38:55 - sentiment_analysis        - INFO - 48.271s - Chunk 128 processed successfully. Processed 1 person events.
2025-05-25 04:38:55 - inconsistency_detection   - INFO - N/A - (Stage 2) Inconsistency analysis for chunk 128 started
2025-05-25 04:38:55 - inconsistency_detection   - INFO - 0.011s - Chunk 128 processed successfully. Processed 1 person events.
2025-05-25 04:38:55 - person_summary            - INFO - N/A - (Stage 2.1) Person attitude analysis for chunk 128 started
2025-05-25 04:38:55 - person_summary            - INFO - N/A - Missing person ID for person_event 1 in chunk 128.
2025-05-25 04:38:55 - person_summary            - INFO - N/A - No sentiment history found for person Seasoned caretakers in chunk 128, generating new.
2025-05-25 04:39:03 - person_summary            - INFO - 45.883s - Successfully got comment
2025-05-25 04:39:03 - person_summary            - INFO - 45.883s - Chunk 134 processed successfully. Processed 1 person events.
