2025-05-24 23:00:22 - DBConnector               - INFO - 0.007s - Person not found
2025-05-24 23:05:24 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 5
2025-05-24 23:05:24 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=139 updated successfully
2025-05-24 23:05:32 - DBConnector               - INFO - 0.028s - Event added with event_id: 6
2025-05-24 23:05:32 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:05:32 - DBConnector               - INFO - 0.027s - Person added with person_id: 5
2025-05-24 23:05:32 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:05:32 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 6
2025-05-24 23:05:32 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 6
2025-05-24 23:05:32 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=136 updated successfully
2025-05-24 23:05:40 - DBConnector               - INFO - 0.028s - Event added with event_id: 7
2025-05-24 23:05:40 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:05:40 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 7
2025-05-24 23:05:40 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 7
2025-05-24 23:05:40 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=135 updated successfully
2025-05-24 23:05:48 - DBConnector               - INFO - 0.030s - Event added with event_id: 8
2025-05-24 23:05:48 - DBConnector               - INFO - 0.002s - Person not found
2025-05-24 23:05:48 - DBConnector               - INFO - 0.024s - Person added with person_id: 6
2025-05-24 23:05:48 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:05:48 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 8
2025-05-24 23:05:48 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 8
2025-05-24 23:05:48 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=137 updated successfully
2025-05-24 23:07:39 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:07:53 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:08:06 - DBConnector               - INFO - 0.006s - Found 3 opinions for person_id 2
2025-05-24 23:08:58 - DBConnector               - INFO - 0.004s - Found 3 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:08:58 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:09:12 - DBConnector               - INFO - 0.002s - Person not found
2025-05-24 23:09:21 - DBConnector               - INFO - 0.028s - Event added with event_id: 9
2025-05-24 23:09:21 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:09:21 - DBConnector               - INFO - 0.024s - Person added with person_id: 7
2025-05-24 23:09:21 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:09:21 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 9
2025-05-24 23:09:21 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 9
2025-05-24 23:09:21 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=134 updated successfully
2025-05-24 23:09:29 - DBConnector               - INFO - 0.029s - Event added with event_id: 10
2025-05-24 23:09:29 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:09:29 - DBConnector               - INFO - 0.030s - Person added with person_id: 8
2025-05-24 23:09:29 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:09:29 - DBConnector               - INFO - 0.029s - Opinion added with opinion_id: 10
2025-05-24 23:09:29 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 10
2025-05-24 23:09:29 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=133 updated successfully
2025-05-24 23:22:18 - DBConnector               - INFO - 0.020s - Person not found
2025-05-24 23:22:27 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:22:37 - DBConnector               - INFO - 0.013s - Found 3 opinions for person_id 2
2025-05-24 23:23:20 - DBConnector               - INFO - 0.009s - Found 3 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:23:20 - DBConnector               - INFO - 0.005s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:23:31 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:23:39 - DBConnector               - INFO - 0.040s - Event added with event_id: 11
2025-05-24 23:23:39 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:23:39 - DBConnector               - INFO - 0.030s - Person added with person_id: 9
2025-05-24 23:23:39 - DBConnector               - INFO - 0.006s - Opinion not found
2025-05-24 23:23:39 - DBConnector               - INFO - 0.034s - Opinion added with opinion_id: 11
2025-05-24 23:23:39 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 11
2025-05-24 23:23:39 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=130 updated successfully
2025-05-24 23:23:45 - DBConnector               - INFO - 0.030s - Event added with event_id: 12
2025-05-24 23:23:45 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:23:45 - DBConnector               - INFO - 0.024s - Person added with person_id: 10
2025-05-24 23:23:45 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:23:45 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 12
2025-05-24 23:23:45 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 12
2025-05-24 23:23:45 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=131 updated successfully
2025-05-24 23:24:43 - DBConnector               - INFO - 0.032s - Event added with event_id: 13
2025-05-24 23:24:43 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:24:43 - DBConnector               - INFO - 0.031s - Opinion added with opinion_id: 13
2025-05-24 23:24:43 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 13
2025-05-24 23:24:43 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=128 updated successfully
2025-05-24 23:24:49 - DBConnector               - INFO - 0.035s - Event added with event_id: 14
2025-05-24 23:24:49 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:24:49 - DBConnector               - INFO - 0.025s - Person added with person_id: 11
2025-05-24 23:24:49 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:24:49 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 14
2025-05-24 23:24:49 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 14
2025-05-24 23:24:49 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=129 updated successfully
2025-05-24 23:25:00 - DBConnector               - INFO - 0.008s - Found 1 opinions for person_id 10
2025-05-24 23:25:09 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:25:49 - DBConnector               - INFO - 0.004s - Found 1 sentiment records for person_id 10 on topic_id 1
2025-05-24 23:25:49 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 10 not found
2025-05-24 23:26:07 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:26:17 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:26:35 - DBConnector               - INFO - 0.032s - Event added with event_id: 15
2025-05-24 23:26:35 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:26:35 - DBConnector               - INFO - 0.026s - Person added with person_id: 12
2025-05-24 23:26:35 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:26:35 - DBConnector               - INFO - 0.034s - Opinion added with opinion_id: 15
2025-05-24 23:26:35 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 15
2025-05-24 23:26:35 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=127 updated successfully
2025-05-24 23:27:04 - DBConnector               - INFO - 0.030s - Event added with event_id: 16
2025-05-24 23:27:04 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:27:04 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 16
2025-05-24 23:27:04 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 16
2025-05-24 23:27:04 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=132 updated successfully
2025-05-24 23:27:32 - DBConnector               - INFO - 0.033s - Event added with event_id: 17
2025-05-24 23:27:32 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:27:32 - DBConnector               - INFO - 0.029s - Person added with person_id: 13
2025-05-24 23:27:32 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:27:32 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 17
2025-05-24 23:27:32 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 17
2025-05-24 23:27:32 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=126 updated successfully
2025-05-24 23:27:38 - DBConnector               - INFO - 0.031s - Event added with event_id: 18
2025-05-24 23:27:38 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:27:38 - DBConnector               - INFO - 0.027s - Person added with person_id: 14
2025-05-24 23:27:38 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:27:38 - DBConnector               - INFO - 0.030s - Opinion added with opinion_id: 18
2025-05-24 23:27:38 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 18
2025-05-24 23:27:38 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=125 updated successfully
2025-05-24 23:28:07 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:28:55 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:29:14 - DBConnector               - INFO - 0.007s - Found 4 opinions for person_id 2
2025-05-24 23:29:25 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:29:48 - DBConnector               - INFO - 0.029s - Event added with event_id: 19
2025-05-24 23:29:48 - DBConnector               - INFO - 0.002s - Person not found
2025-05-24 23:29:48 - DBConnector               - INFO - 0.025s - Person added with person_id: 15
2025-05-24 23:29:48 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:29:49 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 19
2025-05-24 23:29:49 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 19
2025-05-24 23:29:49 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=124 updated successfully
2025-05-24 23:30:12 - DBConnector               - INFO - 0.032s - Event added with event_id: 20
2025-05-24 23:30:12 - DBConnector               - INFO - 0.002s - Person not found
2025-05-24 23:30:12 - DBConnector               - INFO - 0.026s - Person added with person_id: 16
2025-05-24 23:30:12 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:30:12 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 20
2025-05-24 23:30:12 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 20
2025-05-24 23:30:12 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=123 updated successfully
2025-05-24 23:30:41 - DBConnector               - INFO - 0.005s - Found 4 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:30:41 - DBConnector               - INFO - 0.003s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:30:48 - DBConnector               - INFO - 0.036s - Event added with event_id: 21
2025-05-24 23:30:48 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:30:48 - DBConnector               - INFO - 0.027s - Person added with person_id: 17
2025-05-24 23:30:48 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:30:48 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 21
2025-05-24 23:30:48 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 21
2025-05-24 23:30:48 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=121 updated successfully
2025-05-24 23:31:12 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:31:47 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:32:02 - DBConnector               - INFO - 0.029s - Event added with event_id: 22
2025-05-24 23:32:02 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:32:02 - DBConnector               - INFO - 0.029s - Opinion added with opinion_id: 22
2025-05-24 23:32:02 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 22
2025-05-24 23:32:02 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=122 updated successfully
2025-05-24 23:32:11 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:32:27 - DBConnector               - INFO - 0.028s - Event added with event_id: 23
2025-05-24 23:32:27 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:32:27 - DBConnector               - INFO - 0.026s - Person added with person_id: 18
2025-05-24 23:32:27 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:32:27 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 23
2025-05-24 23:32:27 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 23
2025-05-24 23:32:27 - DBConnector               - INFO - 0.005s - Article chunk with chunk_id=120 updated successfully
2025-05-24 23:32:58 - DBConnector               - INFO - 0.031s - Event added with event_id: 24
2025-05-24 23:32:58 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:32:58 - DBConnector               - INFO - 0.025s - Person added with person_id: 19
2025-05-24 23:32:58 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:32:58 - DBConnector               - INFO - 0.031s - Opinion added with opinion_id: 24
2025-05-24 23:32:59 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 24
2025-05-24 23:32:59 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=117 updated successfully
2025-05-24 23:33:31 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:33:38 - DBConnector               - INFO - 0.035s - Event added with event_id: 25
2025-05-24 23:33:38 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:33:38 - DBConnector               - INFO - 0.025s - Person added with person_id: 20
2025-05-24 23:33:38 - DBConnector               - INFO - 0.000s - Opinion not found
2025-05-24 23:33:38 - DBConnector               - INFO - 0.016s - Opinion added with opinion_id: 25
2025-05-24 23:33:38 - DBConnector               - INFO - 0.000s - Opinion found with opinion_id: 25
2025-05-24 23:33:38 - DBConnector               - INFO - 0.000s - Article chunk with chunk_id=118 updated successfully
2025-05-24 23:34:47 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:35:14 - DBConnector               - INFO - 0.031s - Event added with event_id: 26
2025-05-24 23:35:14 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:35:14 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 26
2025-05-24 23:35:14 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 26
2025-05-24 23:35:14 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=119 updated successfully
2025-05-24 23:35:22 - DBConnector               - INFO - 0.007s - Found 1 opinions for person_id 17
2025-05-24 23:35:22 - DBConnector               - INFO - 0.004s - Found 1 sentiment records for person_id 17 on topic_id 1
2025-05-24 23:35:22 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 17 not found
2025-05-24 23:35:41 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:36:12 - DBConnector               - INFO - 0.029s - Event added with event_id: 27
2025-05-24 23:36:12 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:36:12 - DBConnector               - INFO - 0.027s - Person added with person_id: 21
2025-05-24 23:36:12 - DBConnector               - INFO - 0.006s - Opinion not found
2025-05-24 23:36:12 - DBConnector               - INFO - 0.030s - Opinion added with opinion_id: 27
2025-05-24 23:36:12 - DBConnector               - INFO - 0.006s - Opinion found with opinion_id: 27
2025-05-24 23:36:12 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=116 updated successfully
2025-05-24 23:36:31 - DBConnector               - INFO - 0.000s - Person not found
2025-05-24 23:36:38 - DBConnector               - INFO - 0.030s - Event added with event_id: 28
2025-05-24 23:36:38 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:36:38 - DBConnector               - INFO - 0.030s - Opinion added with opinion_id: 28
2025-05-24 23:36:38 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 28
2025-05-24 23:36:38 - DBConnector               - INFO - 0.005s - Article chunk with chunk_id=113 updated successfully
2025-05-24 23:37:05 - DBConnector               - INFO - 0.044s - Event added with event_id: 29
2025-05-24 23:37:05 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:37:05 - DBConnector               - INFO - 0.025s - Person added with person_id: 22
2025-05-24 23:37:05 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:37:05 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 29
2025-05-24 23:37:05 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 29
2025-05-24 23:37:05 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=115 updated successfully
2025-05-24 23:37:40 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:38:05 - DBConnector               - INFO - 0.030s - Event added with event_id: 30
2025-05-24 23:38:05 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:38:05 - DBConnector               - INFO - 0.023s - Person added with person_id: 23
2025-05-24 23:38:05 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:38:05 - DBConnector               - INFO - 0.026s - Opinion added with opinion_id: 30
2025-05-24 23:38:05 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 30
2025-05-24 23:38:05 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=114 updated successfully
2025-05-24 23:38:14 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:38:35 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:39:05 - DBConnector               - INFO - 0.031s - Event added with event_id: 31
2025-05-24 23:39:05 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:39:05 - DBConnector               - INFO - 0.027s - Person added with person_id: 24
2025-05-24 23:39:05 - DBConnector               - INFO - 0.000s - Opinion not found
2025-05-24 23:39:05 - DBConnector               - INFO - 0.031s - Opinion added with opinion_id: 31
2025-05-24 23:39:05 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 31
2025-05-24 23:39:05 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=111 updated successfully
2025-05-24 23:39:24 - DBConnector               - INFO - 0.007s - Found 1 opinions for person_id 23
2025-05-24 23:39:24 - DBConnector               - INFO - 0.003s - Found 1 sentiment records for person_id 23 on topic_id 1
2025-05-24 23:39:24 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 23 not found
2025-05-24 23:39:31 - DBConnector               - INFO - 0.030s - Event added with event_id: 32
2025-05-24 23:39:31 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:39:31 - DBConnector               - INFO - 0.026s - Person added with person_id: 25
2025-05-24 23:39:31 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:39:31 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 32
2025-05-24 23:39:31 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 32
2025-05-24 23:39:31 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=112 updated successfully
2025-05-24 23:39:57 - DBConnector               - INFO - 0.032s - Event added with event_id: 33
2025-05-24 23:39:57 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:39:57 - DBConnector               - INFO - 0.031s - Person added with person_id: 26
2025-05-24 23:39:57 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:39:57 - DBConnector               - INFO - 0.029s - Opinion added with opinion_id: 33
2025-05-24 23:39:57 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 33
2025-05-24 23:39:57 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=110 updated successfully
2025-05-24 23:40:32 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:40:54 - DBConnector               - INFO - 0.031s - Event added with event_id: 34
2025-05-24 23:40:54 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:40:54 - DBConnector               - INFO - 0.029s - Opinion added with opinion_id: 34
2025-05-24 23:40:54 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 34
2025-05-24 23:40:54 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=109 updated successfully
2025-05-24 23:41:03 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:41:22 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:41:52 - DBConnector               - INFO - 0.034s - Event added with event_id: 35
2025-05-24 23:41:52 - DBConnector               - INFO - 0.002s - Person not found
2025-05-24 23:41:52 - DBConnector               - INFO - 0.023s - Person added with person_id: 27
2025-05-24 23:41:52 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:41:52 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 35
2025-05-24 23:41:52 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 35
2025-05-24 23:41:52 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=108 updated successfully
2025-05-24 23:42:08 - DBConnector               - INFO - 0.007s - Found 5 opinions for person_id 2
2025-05-24 23:42:15 - DBConnector               - INFO - 0.028s - Event added with event_id: 36
2025-05-24 23:42:15 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:42:15 - DBConnector               - INFO - 0.025s - Person added with person_id: 28
2025-05-24 23:42:15 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:42:15 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 36
2025-05-24 23:42:15 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 36
2025-05-24 23:42:15 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=106 updated successfully
2025-05-24 23:42:36 - DBConnector               - INFO - 0.029s - Event added with event_id: 37
2025-05-24 23:42:36 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:42:36 - DBConnector               - INFO - 0.024s - Person added with person_id: 29
2025-05-24 23:42:36 - DBConnector               - INFO - 0.016s - Opinion not found
2025-05-24 23:42:36 - DBConnector               - INFO - 0.031s - Opinion added with opinion_id: 37
2025-05-24 23:42:36 - DBConnector               - INFO - 0.000s - Opinion found with opinion_id: 37
2025-05-24 23:42:36 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=107 updated successfully
2025-05-24 23:42:40 - DBConnector               - INFO - 0.006s - Found 5 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:42:40 - DBConnector               - INFO - 0.003s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:43:06 - DBConnector               - INFO - 0.007s - Found 5 opinions for person_id 2
2025-05-24 23:43:36 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:43:49 - DBConnector               - INFO - 0.008s - Found 5 opinions for person_id 2
2025-05-24 23:43:55 - DBConnector               - INFO - 0.029s - Event added with event_id: 38
2025-05-24 23:43:55 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:43:55 - DBConnector               - INFO - 0.032s - Opinion added with opinion_id: 38
2025-05-24 23:43:55 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 38
2025-05-24 23:43:55 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=105 updated successfully
2025-05-24 23:44:19 - DBConnector               - INFO - 0.007s - Found 6 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:44:19 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:44:24 - DBConnector               - INFO - 0.005s - Found 6 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:44:24 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:44:47 - DBConnector               - INFO - 0.031s - Event added with event_id: 39
2025-05-24 23:44:47 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:44:47 - DBConnector               - INFO - 0.026s - Person added with person_id: 30
2025-05-24 23:44:47 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:44:47 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 39
2025-05-24 23:44:47 - DBConnector               - INFO - 0.003s - Opinion found with opinion_id: 39
2025-05-24 23:44:47 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=101 updated successfully
